Source Account,Tweets,Date,Compound,Positive,Negative,Neutral,Tweets Ago
CNN,"""This is a moment of happiness, this is a moment of hope, this is a moment of history."" 

Opposition leader hails s… https://t.co/RMqPLXvJ0a",Mon Sep 24 09:07:05 +0000 2018,0.7579,0.265,0.0,0.735,96
CNN,Controversial Vatican deal could recognize the legitimacy of bishops appointed by China https://t.co/t5BmnHSHQ0 https://t.co/wUdFDGMf2k,Mon Sep 24 08:54:03 +0000 2018,-0.2023,0.0,0.122,0.878,97
CNN,Porsche eliminates diesel cars from its lineup https://t.co/MaTwcsrP8G https://t.co/fHRvuIccpz,Mon Sep 24 08:43:35 +0000 2018,0.0,0.0,0.0,1.0,98
CNN,"Corporate America, not banks, could cause the next recession https://t.co/IEVjojU5VB https://t.co/Ip8zzmLCuj",Mon Sep 24 08:33:11 +0000 2018,-0.4215,0.0,0.219,0.781,99
CNN,"Swiss ship attacked off Nigerian coast, official says https://t.co/SEyeJ3IIHL https://t.co/qReNEQXnDn",Mon Sep 24 08:22:38 +0000 2018,-0.4588,0.0,0.25,0.75,100
nytimes,Have you encountered Candida auris? We want to hear from you. https://t.co/8c3pn41g1u,Mon Sep 24 19:35:03 +0000 2018,0.0772,0.106,0.0,0.894,1
nytimes,"On Friday and Saturday, farewell tours by 2 major figures rooted in the 1960s folk revival came to New York City: J… https://t.co/lk2rbvSkOC",Mon Sep 24 19:20:01 +0000 2018,0.0,0.0,0.0,1.0,2
nytimes,"Authorities keep arresting people said to be bosses of wildlife trafficking, but that isn’t making a dent in the pr… https://t.co/mjOaKetbvW",Mon Sep 24 19:05:05 +0000 2018,0.0,0.0,0.0,1.0,3
nytimes,Michael Kors is close to announcing a deal to buy Versace https://t.co/SpNabDyuhL,Mon Sep 24 18:50:06 +0000 2018,0.0,0.0,0.0,1.0,4
nytimes,"The Dallas Police Department fired a police officer who fatally shot her neighbor, Botham Shem Jean, inside his apa… https://t.co/tK8SOjNEjb",Mon Sep 24 18:36:19 +0000 2018,-0.8316,0.0,0.315,0.685,5
nytimes,Breaking News: Brett Kavanaugh denied new sexual misconduct allegations and said he would “not be intimidated into… https://t.co/FhQCnTxdjX,Mon Sep 24 18:18:19 +0000 2018,-0.7003,0.0,0.266,0.734,6
nytimes,No expensive equipment or fancy ingredients necessary https://t.co/g6BHdORojq,Mon Sep 24 18:15:07 +0000 2018,-0.296,0.0,0.239,0.761,7
nytimes,"""Even the ghost of love can ground you wherever you’ve landed, even years after you’ve flung yourself away from it"" https://t.co/Sk7Y83OLot",Mon Sep 24 18:00:10 +0000 2018,0.4404,0.165,0.09,0.745,8
nytimes,RT @TimHerrera: So uh lots going on today! Take a break and learn how you can seem more likeable! https://t.co/YyHrzDLSJ8,Mon Sep 24 17:50:07 +0000 2018,0.5963,0.177,0.0,0.823,9
nytimes,"NBC’s entertainment chief Robert Greenblatt's departure may not be a surprise, but the suddenness is https://t.co/eCU18Ita52",Mon Sep 24 17:40:08 +0000 2018,0.1263,0.117,0.086,0.797,10
nytimes,"RT @nytimesarts: A psychologist at Bill Cosby's sentencing hearing said he could re-offend. ""It is possible that he has already met someone…",Mon Sep 24 17:30:04 +0000 2018,-0.1531,0.0,0.074,0.926,11
nytimes,"In rare public remarks, CIA director Gina Haspel said Kim Jong-un will not give up his nuclear weapons easily, seei… https://t.co/OWKNqyUKa1",Mon Sep 24 17:20:10 +0000 2018,-0.128,0.099,0.119,0.782,12
nytimes,"Breaking News: Rod Rosenstein, who was considering quitting, will meet with President Trump on Thursday to discuss… https://t.co/FMRReW3SCd",Mon Sep 24 17:16:08 +0000 2018,0.0,0.0,0.0,1.0,13
nytimes,Making something safe and predictable out of what was once wild https://t.co/qeHHGPAWtp,Mon Sep 24 17:05:03 +0000 2018,0.4404,0.209,0.0,0.791,14
nytimes,Noah Centineo is everywhere. But he swears it hasn't gone to his head. https://t.co/CemESwJBAc,Mon Sep 24 16:50:07 +0000 2018,0.0516,0.085,0.0,0.915,15
nytimes,Fans new and old caught a glimpse of the kind of mania that a dominant Tiger Woods can elicit https://t.co/QECmUYKykk,Mon Sep 24 16:35:09 +0000 2018,0.0,0.0,0.0,1.0,16
nytimes,Here is the Times report that Rod Rosenstein suggested secretly recording Donald Trump and discussed the 25th amend… https://t.co/itzR7BW052,Mon Sep 24 16:12:31 +0000 2018,0.0,0.0,0.0,1.0,17
nytimes,"Rod Rosenstein, the deputy attorney general, is considering resigning, days after a Times report revealed he discus… https://t.co/rlPunmaaM5",Mon Sep 24 16:10:48 +0000 2018,-0.2263,0.0,0.106,0.894,18
nytimes,Aaron Carr founded a tiny watchdog agency that uses public data to push New York to go after corrupt landlords. And… https://t.co/ng5SIrMO2g,Mon Sep 24 15:55:08 +0000 2018,0.0,0.0,0.0,1.0,19
nytimes,"In Opinion

Op-Ed columnist David Leonhardt writes, ""It’s not just the mess of this nomination. I think the court h… https://t.co/bzlTA6qGu2",Mon Sep 24 15:40:07 +0000 2018,0.2755,0.1,0.0,0.9,20
nytimes,Have you encountered Candida auris? We want to hear from you. https://t.co/8c3pn41g1u,Mon Sep 24 19:35:03 +0000 2018,0.0772,0.106,0.0,0.894,21
nytimes,"On Friday and Saturday, farewell tours by 2 major figures rooted in the 1960s folk revival came to New York City: J… https://t.co/lk2rbvSkOC",Mon Sep 24 19:20:01 +0000 2018,0.0,0.0,0.0,1.0,22
nytimes,"Authorities keep arresting people said to be bosses of wildlife trafficking, but that isn’t making a dent in the pr… https://t.co/mjOaKetbvW",Mon Sep 24 19:05:05 +0000 2018,0.0,0.0,0.0,1.0,23
nytimes,Michael Kors is close to announcing a deal to buy Versace https://t.co/SpNabDyuhL,Mon Sep 24 18:50:06 +0000 2018,0.0,0.0,0.0,1.0,24
nytimes,"The Dallas Police Department fired a police officer who fatally shot her neighbor, Botham Shem Jean, inside his apa… https://t.co/tK8SOjNEjb",Mon Sep 24 18:36:19 +0000 2018,-0.8316,0.0,0.315,0.685,25
nytimes,Breaking News: Brett Kavanaugh denied new sexual misconduct allegations and said he would “not be intimidated into… https://t.co/FhQCnTxdjX,Mon Sep 24 18:18:19 +0000 2018,-0.7003,0.0,0.266,0.734,26
nytimes,No expensive equipment or fancy ingredients necessary https://t.co/g6BHdORojq,Mon Sep 24 18:15:07 +0000 2018,-0.296,0.0,0.239,0.761,27
nytimes,"""Even the ghost of love can ground you wherever you’ve landed, even years after you’ve flung yourself away from it"" https://t.co/Sk7Y83OLot",Mon Sep 24 18:00:10 +0000 2018,0.4404,0.165,0.09,0.745,28
nytimes,RT @TimHerrera: So uh lots going on today! Take a break and learn how you can seem more likeable! https://t.co/YyHrzDLSJ8,Mon Sep 24 17:50:07 +0000 2018,0.5963,0.177,0.0,0.823,29
nytimes,"NBC’s entertainment chief Robert Greenblatt's departure may not be a surprise, but the suddenness is https://t.co/eCU18Ita52",Mon Sep 24 17:40:08 +0000 2018,0.1263,0.117,0.086,0.797,30
nytimes,"RT @nytimesarts: A psychologist at Bill Cosby's sentencing hearing said he could re-offend. ""It is possible that he has already met someone…",Mon Sep 24 17:30:04 +0000 2018,-0.1531,0.0,0.074,0.926,31
nytimes,"In rare public remarks, CIA director Gina Haspel said Kim Jong-un will not give up his nuclear weapons easily, seei… https://t.co/OWKNqyUKa1",Mon Sep 24 17:20:10 +0000 2018,-0.128,0.099,0.119,0.782,32
nytimes,"Breaking News: Rod Rosenstein, who was considering quitting, will meet with President Trump on Thursday to discuss… https://t.co/FMRReW3SCd",Mon Sep 24 17:16:08 +0000 2018,0.0,0.0,0.0,1.0,33
nytimes,Making something safe and predictable out of what was once wild https://t.co/qeHHGPAWtp,Mon Sep 24 17:05:03 +0000 2018,0.4404,0.209,0.0,0.791,34
nytimes,Noah Centineo is everywhere. But he swears it hasn't gone to his head. https://t.co/CemESwJBAc,Mon Sep 24 16:50:07 +0000 2018,0.0516,0.085,0.0,0.915,35
nytimes,Fans new and old caught a glimpse of the kind of mania that a dominant Tiger Woods can elicit https://t.co/QECmUYKykk,Mon Sep 24 16:35:09 +0000 2018,0.0,0.0,0.0,1.0,36
nytimes,Here is the Times report that Rod Rosenstein suggested secretly recording Donald Trump and discussed the 25th amend… https://t.co/itzR7BW052,Mon Sep 24 16:12:31 +0000 2018,0.0,0.0,0.0,1.0,37
